Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
12-09-2020;7;795,4542387;29,0319;328,1530244;1448,68156;0
12-09-2020;8;714,7555161;28,9834;328,4520132;1629,57832;30,72521137
12-09-2020;9;681,8565884;24,3724;329,0413386;1715,81256;639,1909029
12-09-2020;10;601,7476995;21,0224;324,3125792;1824,52528;1830,258327
12-09-2020;11;579,826179;22,9365;322,2105217;1821,17428;2350,078327
12-09-2020;12;707,5814606;21,8318;321,7821196;1649,82494;2491,003198
12-09-2020;13;853,4273016;22,5859;317,5878857;1611,25428;2531,742074
12-09-2020;14;821,1935166;18,7126;313,0190864;1711,89608;2431,271252
12-09-2020;15;865,0360274;17,1319;312,8972311;1619,1923;2506,999893
12-09-2020;16;976,166459;17,5567;317,2759612;1477,83806;2460,275934
12-09-2020;17;1038,856169;18,0748;318,5359856;1403,69914;2321,684053
12-09-2020;18;1218,171921;17,6105;320,6985199;1419,64952;1883,297585
12-09-2020;19;1485,276164;19,7192;333,784262;1784,11694;1002,902781
12-09-2020;20;1547,114667;22,7788;349,6366729;2094,26154;52,11792896
12-09-2020;21;1480,705923;29,2877;351,6883729;2123,32534;0
12-09-2020;22;1456,282141;29,7679;354,3998347;2121,07704;0
12-09-2020;23;1367,646196;29,9946;353,4774791;2263,39812;0
12-09-2020;24;1315,516607;29,7184;353,0620229;2342,61288;0
13-09-2020;1;1172,141518;29,7718;341,051086;2330,73512;0
13-09-2020;2;1137,661637;30,0093;332,2761656;1923,66494;0
13-09-2020;3;1021,002901;29,9271;336,859575;1904,94354;0
13-09-2020;4;878,8564447;29,874;332,7034274;1982,35534;0
13-09-2020;5;775,990577;29,0565;321,6685457;1981,13938;0
13-09-2020;6;772,7566715;28,1575;317,7980056;1952,93862;0
13-09-2020;7;859,8230604;28,4971;318,3375005;1986,42936;0,30447669
13-09-2020;8;807,2446313;29,0317;311,7607153;1913,96176;27,549035
13-09-2020;9;752,4268524;29,3769;314,5471745;1584,70562;603,730641
13-09-2020;10;732,7005765;25,2374;314,8466042;1309,02496;1746,01544
13-09-2020;11;672,1711722;17,5225;311,8411622;1451,88412;2075,283651
13-09-2020;12;768,5973229;17,4427;308,3075055;1363,29188;2225,381516
13-09-2020;13;818,5112388;16,1093;306,6176977;1411,79108;2269,267659
13-09-2020;14;800,8712417;17,6969;304,3363952;1584,91442;2285,828359
13-09-2020;15;930,7554894;18,3294;300,0439626;1493,17468;2281,354973
13-09-2020;16;1151,581179;18,9769;294,0791437;1153,56898;2240,745177
13-09-2020;17;1085,196935;18,8633;296,7465433;1191,4335;2127,520747
