Fecha;Hora;"Demanda
[MW]"
04-10-2020;10;7631
04-10-2020;11;7935
04-10-2020;12;8126
04-10-2020;13;8211
04-10-2020;14;8310
04-10-2020;15;8242
04-10-2020;16;8080
04-10-2020;17;7956
04-10-2020;18;7876
04-10-2020;19;8109
04-10-2020;20;8471
04-10-2020;21;9209
04-10-2020;22;9196
04-10-2020;23;8953
04-10-2020;24;8545
05-10-2020;1;8195
05-10-2020;2;7806
05-10-2020;3;7590
05-10-2020;4;7475
05-10-2020;5;7463
05-10-2020;6;7553
05-10-2020;7;7815
05-10-2020;8;8080
05-10-2020;9;8735
05-10-2020;10;9285
05-10-2020;11;9446
05-10-2020;12;9497
05-10-2020;13;9546
05-10-2020;14;9538
05-10-2020;15;9455
05-10-2020;16;9345
05-10-2020;17;9192
05-10-2020;18;8970
05-10-2020;19;8800
05-10-2020;20;9051
05-10-2020;21;9651
05-10-2020;22;9622
05-10-2020;23;9219
05-10-2020;24;8887
06-10-2020;1;8363
06-10-2020;2;8005
06-10-2020;3;7719
06-10-2020;4;7590
06-10-2020;5;7574
06-10-2020;6;7674
06-10-2020;7;7899
06-10-2020;8;8202
06-10-2020;9;8769
06-10-2020;10;9307
06-10-2020;11;9477
06-10-2020;12;9439
06-10-2020;13;9408
06-10-2020;14;9362
06-10-2020;15;9327
06-10-2020;16;9227
06-10-2020;17;9064
06-10-2020;18;8881
06-10-2020;19;8753
06-10-2020;20;8974
06-10-2020;21;9640
06-10-2020;22;9661
06-10-2020;23;9224
06-10-2020;24;8878
07-10-2020;1;8513
07-10-2020;2;8095
07-10-2020;3;7864
07-10-2020;4;7680
07-10-2020;5;7664
07-10-2020;6;7683
07-10-2020;7;7889
07-10-2020;8;8073
07-10-2020;9;8585
07-10-2020;10;8991
07-10-2020;11;9192
07-10-2020;12;9218
07-10-2020;13;9264
07-10-2020;14;9260
07-10-2020;15;9194
07-10-2020;16;9131
07-10-2020;17;9048
07-10-2020;18;8896
07-10-2020;19;8713
07-10-2020;20;8874
07-10-2020;21;9484
07-10-2020;22;9528
07-10-2020;23;9126
07-10-2020;24;8563
08-10-2020;1;8443
